game_number,player_id,shots_fired,shots_hit,accuracy_pct
1,1,6,6,100.0
1,2,5,4,80.0
2,1,7,4,57.14
2,2,7,7,100.0
3,1,4,8,200.0
3,2,3,2,66.67
4,1,7,6,85.71
4,2,6,2,33.33
5,1,7,5,71.43
5,2,6,4,66.67
6,1,6,5,83.33
6,2,6,8,133.33
7,1,5,10,200.0
7,2,4,3,75.0
8,1,9,2,22.22
8,2,9,8,88.89
9,1,9,7,77.78
9,2,9,5,55.56
10,1,5,5,100.0
10,2,4,7,175.0
11,1,5,6,120.0
11,2,4,3,75.0
12,1,6,5,83.33
12,2,6,8,133.33
13,1,6,7,116.67
13,2,5,2,40.0
14,1,8,7,87.5
14,2,8,10,125.0
15,1,11,8,72.73
15,2,11,7,63.64
16,1,8,9,112.5
16,2,8,8,100.0
17,1,10,4,40.0
17,2,9,4,44.44
18,1,3,6,200.0
18,2,2,2,100.0
19,1,8,9,112.5
19,2,7,4,57.14
20,1,7,8,114.29
20,2,6,4,66.67
21,1,11,4,36.36
21,2,11,8,72.73
22,1,8,5,62.5
22,2,7,7,100.0
23,1,7,5,71.43
23,2,7,8,114.29
24,1,6,9,150.0
24,2,5,8,160.0
25,1,6,8,133.33
25,2,5,1,20.0
26,1,6,7,116.67
26,2,6,5,83.33
27,1,4,3,75.0
27,2,3,3,100.0
28,1,8,10,125.0
28,2,7,4,57.14
29,1,11,12,109.09
29,2,10,7,70.0
30,1,8,6,75.0
30,2,8,10,125.0
31,1,7,3,42.86
31,2,7,7,100.0
32,1,12,6,50.0
32,2,12,10,83.33
33,1,4,2,50.0
33,2,4,4,100.0
34,1,6,4,66.67
34,2,6,5,83.33
35,1,8,4,50.0
35,2,7,6,85.71
36,1,11,9,81.82
36,2,10,7,70.0
37,1,6,4,66.67
37,2,5,3,60.0
38,1,9,6,66.67
38,2,8,6,75.0
39,1,9,9,100.0
39,2,8,3,37.5
40,1,7,4,57.14
40,2,7,7,100.0
41,1,11,9,81.82
41,2,10,13,130.0
42,1,7,4,57.14
42,2,6,7,116.67
43,1,4,4,100.0
43,2,3,3,100.0
44,1,7,5,71.43
44,2,6,4,66.67
45,1,9,5,55.56
45,2,8,4,50.0
46,1,7,7,100.0
46,2,6,4,66.67
47,1,6,4,66.67
47,2,5,6,120.0
48,1,7,5,71.43
48,2,7,6,85.71
49,1,6,11,183.33
49,2,5,4,80.0
50,1,8,4,50.0
50,2,8,6,75.0
51,1,6,5,83.33
51,2,5,5,100.0
52,1,4,3,75.0
52,2,4,9,225.0
53,1,5,7,140.0
53,2,4,3,75.0
54,1,6,3,50.0
54,2,5,6,120.0
55,1,7,7,100.0
55,2,6,7,116.67
56,1,8,6,75.0
56,2,7,12,171.43
57,1,7,6,85.71
57,2,7,7,100.0
58,1,7,8,114.29
58,2,6,3,50.0
59,1,8,2,25.0
59,2,8,9,112.5
60,1,6,3,50.0
60,2,6,7,116.67
61,1,6,7,116.67
61,2,5,2,40.0
62,1,9,2,22.22
62,2,9,9,100.0
63,1,6,8,133.33
63,2,5,3,60.0
64,1,11,8,72.73
64,2,10,6,60.0
65,1,4,3,75.0
65,2,3,7,233.33
66,1,7,3,42.86
66,2,7,4,57.14
67,1,14,10,71.43
67,2,13,7,53.85
68,1,6,8,133.33
68,2,5,4,80.0
69,1,9,6,66.67
69,2,8,7,87.5
70,1,11,8,72.73
70,2,10,4,40.0
71,1,6,4,66.67
71,2,6,4,66.67
72,1,9,10,111.11
72,2,9,7,77.78
73,1,15,10,66.67
73,2,14,4,28.57
74,1,11,5,45.45
74,2,11,9,81.82
75,1,7,4,57.14
75,2,6,6,100.0
76,1,12,9,75.0
76,2,11,6,54.55
77,1,10,8,80.0
77,2,9,9,100.0
78,1,8,7,87.5
78,2,7,2,28.57
79,1,7,4,57.14
79,2,6,2,33.33
80,1,3,0,0.0
80,2,3,13,433.33
81,1,9,6,66.67
81,2,9,7,77.78
82,1,6,4,66.67
82,2,6,6,100.0
83,1,7,7,100.0
83,2,6,8,133.33
84,1,11,10,90.91
84,2,10,8,80.0
85,1,14,5,35.71
85,2,14,16,114.29
86,1,29,6,20.69
86,2,28,10,35.71
87,1,18,8,44.44
87,2,17,8,47.06
88,1,11,4,36.36
88,2,10,3,30.0
89,1,9,9,100.0
89,2,9,7,77.78
90,1,15,10,66.67
90,2,14,12,85.71
91,1,13,5,38.46
91,2,12,6,50.0
92,1,11,5,45.45
92,2,10,2,20.0
93,1,14,6,42.86
93,2,14,6,42.86
94,1,12,5,41.67
94,2,12,8,66.67
95,1,12,4,33.33
95,2,11,5,45.45
96,1,12,8,66.67
96,2,11,6,54.55
97,1,18,6,33.33
97,2,17,3,17.65
98,1,18,10,55.56
98,2,18,10,55.56
99,1,18,12,66.67
99,2,18,7,38.89
100,1,16,5,31.25
100,2,16,6,37.5
101,1,3,0,0.0
101,2,3,9,300.0
102,1,18,8,44.44
102,2,17,6,35.29
